0.942307692,1,0.980769231,0.980769231
0.960629921,0.921259843,0.960629921,0.984251969
0.971563981,0.914691943,0.886255924,0.971563981
0.965811966,1,0.923076923,0.974358974
0.980769231,0.971153846,1,0.971153846
0.933333333,0.966666667,1,0.866666667
1,0.966666667,1,0.933333333
1,1,1,0.96875
1,1,1,0.953488372
0.92,0.94,1,0.94
0.966666667,0.933333333,1,0.933333333
0.923076923,1,1,1
0.935483871,1,1,1
0.933333333,1,1,0.933333333
0.94,0.94,0.9,1
1,1,0.933333333,0.933333333
1,1,1,1
1,0.916666667,0.888888889,0.944444444
1,1,0.897435897,1
1,0.939393939,1,0.96969697
0.978723404,1,1,0.957446809
1,0.939759036,1,0.903614458
0.909090909,1,1,1
1,1,1,0.951807229
0.916666667,1,1,0.895833333
0.928571429,1,1,0.928571429
0.949367089,0.949367089,0.860759494,0.886075949
0.918918919,1,0.972972973,0.864864865
1,1,0.966666667,1
0.979591837,1,1,0.959183673
1,0.909090909,0.909090909,0.818181818
1,1,1,1
0.98989899,0.929292929,0.98989899,0.95959596
0.956140351,1,0.99122807,0.960526316
0.981012658,1,0.962025316,0.981012658
0.985507246,0.956521739,0.927536232,0.956521739
0.927710843,0.939759036,0.951807229,0.987951807
0.904761905,0.904761905,1,1
0.96969697,0.96969697,1,0.909090909
1,0.9375,0.84375,0.9375
0.916666667,0.916666667,1,0.958333333
1,1,1,1
0.891891892,0.972972973,0.864864865,0.864864865
1,0.888888889,1,0.888888889
1,1,1,1
1,1,1,0.923076923
0.957746479,0.873239437,0.915492958,0.901408451
1,0.944444444,0.944444444,1
1,0.857142857,1,1
1,0.857142857,1,1
0.9,0.95,1,1
0.846153846,0.846153846,0.846153846,1
0.894736842,0.947368421,0.947368421,1
1,0.923076923,0.961538462,0.961538462
0.974683544,0.898734177,0.911392405,0.974683544
0.974358974,0.948717949,0.948717949,0.974358974
1,1,1,1
1,1,1,1
1,1,0.942028986,1
1,1,1,0.926829268
0.941176471,1,1,0.970588235
0.96,1,0.96,0.96
1,0.942857143,0.914285714,0.8
0.943396226,1,1,0.905660377
1,0.966101695,1,1
