PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
L3Y,0.73255814,0.76744186,0.76744186,0.581395349,0.651162791,0.581395349,0.720930233,0.709302326
L3Z,0.857142857,0.628571429,0.657142857,0.514285714,0.8,0.542857143,0.6,0.714285714
L4C,0.6328125,0.671875,0.8125,0.6640625,0.6171875,0.4609375,0.734375,0.640625
L4G,0.80952381,0.793650794,0.825396825,0.53968254,0.682539683,0.714285714,0.80952381,0.492063492
L4H,0.716981132,0.660377358,0.773584906,0.698113208,0.962264151,0.641509434,0.811320755,0.830188679
L4P,0.658536585,0.804878049,0.731707317,0.536585366,0.634146341,0.682926829,0.87804878,0.756097561
L6R,0.670886076,0.658227848,0.772151899,0.772151899,0.974683544,0.911392405,0.873417722,1
L4R,0.651162791,0.697674419,0.837209302,0.674418605,0.511627907,0.441860465,0.395348837,0.372093023
L5L,0.7,0.671428571,0.857142857,0.657142857,0.457142857,0.457142857,0.628571429,0.871428571
L6M,0.746478873,0.901408451,0.816901408,0.605633803,0.845070423,0.873239437,0.873239437,0.549295775
L4X,0.458333333,0.625,0.583333333,0.625,0.666666667,0.75,0.791666667,0.75
L4Y,0.658536585,0.634146341,0.829268293,0.658536585,0.658536585,0.317073171,0.634146341,0.634146341
L5E,0.523809524,0.904761905,0.714285714,0.714285714,0.428571429,0.666666667,0.714285714,0.619047619
L5G,0.567567568,0.648648649,0.783783784,0.702702703,0.837837838,0.648648649,0.675675676,0.864864865
L5K,0.62962963,0.703703704,0.740740741,0.518518519,0.62962963,0.62962963,0.444444444,0.666666667
L5R,0.720930233,0.906976744,0.651162791,0.627906977,0.372093023,0.465116279,0.488372093,1
L6B,0.75,0.625,0.75,0.875,0.75,0.625,0.875,0.875
L7J,0.8,0.866666667,0.666666667,0.633333333,0.866666667,0.9,0.5,0.833333333
L6J,0.901960784,0.843137255,0.823529412,0.784313725,0.901960784,0.882352941,0.509803922,0.529411765
L6W,0.677419355,0.64516129,0.677419355,0.483870968,0.612903226,0.709677419,0.677419355,0.580645161
L7B,0.761904762,0.666666667,0.857142857,0.523809524,0.80952381,0.666666667,0.666666667,0.571428571
L7C,0.727272727,0.636363636,0.575757576,0.393939394,0.393939394,0.606060606,0.757575758,0.696969697
L7P,0.719298246,0.719298246,0.754385965,0.736842105,0.561403509,0.894736842,0.649122807,0.771929825
L9C,0.708333333,0.763888889,0.833333333,0.666666667,0.75,0.472222222,0.458333333,0.666666667
L9H,0.837837838,0.851351351,0.864864865,0.783783784,0.5,0.743243243,0.581081081,0.675675676
L9R,0.794871795,0.769230769,0.923076923,0.58974359,0.615384615,0.58974359,0.717948718,0.58974359
L9S,0.666666667,0.708333333,0.916666667,0.645833333,0.5625,0.395833333,0.8125,0.583333333
L9T,0.754098361,0.803278689,0.795081967,0.573770492,0.893442623,0.844262295,0.762295082,0.754098361
L9W,0.826666667,0.866666667,0.746666667,0.626666667,0.773333333,0.466666667,0.813333333,0.76
L9X,0.736842105,0.736842105,0.631578947,0.736842105,0.631578947,0.684210526,0.526315789,0.736842105
L9Y,0.636363636,0.795454545,0.522727273,0.681818182,0.522727273,0.568181818,0.75,0.340909091
M1B,0.772727273,0.772727273,0.806818182,0.704545455,0.477272727,0.852272727,0.568181818,0.977272727
M1C,0.677966102,0.745762712,0.711864407,0.542372881,0.847457627,0.694915254,0.644067797,0.728813559
M1E,0.646153846,0.646153846,0.769230769,0.646153846,0.476923077,0.861538462,0.692307692,0.769230769
M1H,0.205882353,0.705882353,0.676470588,0.558823529,0.382352941,0.558823529,0.705882353,0.764705882
M1J,0.425,0.725,0.85,0.625,0.825,0.85,0.5,0.875
M1K,0.524590164,0.803278689,0.68852459,0.68852459,0.819672131,0.901639344,0.62295082,0.819672131
M1L,0.581395349,0.697674419,0.837209302,0.534883721,0.511627907,0.511627907,0.651162791,0.627906977
M1M,0.763157895,0.736842105,0.842105263,0.578947368,0.473684211,0.421052632,0.842105263,0.763157895
M1P,0.58490566,0.716981132,0.886792453,0.603773585,0.754716981,0.452830189,0.773584906,0.811320755
M1R,0.615384615,0.615384615,0.730769231,0.653846154,0.557692308,0.423076923,0.769230769,0.961538462
M1S,0.448275862,0.637931034,0.948275862,0.689655172,0.413793103,0.534482759,0.534482759,0.948275862
M1T,0.333333333,0.733333333,0.844444444,0.577777778,0.822222222,0.711111111,0.911111111,0.822222222
M1V,0.805555556,0.75,0.944444444,0.763888889,0.472222222,0.958333333,0.652777778,0.958333333
M1W,0.579710145,0.724637681,0.956521739,0.68115942,0.637681159,0.869565217,0.84057971,0.826086957
M1X,0.866666667,0.8,0.733333333,0.666666667,0.933333333,0.933333333,0.666666667,1
M2H,0.789473684,0.789473684,0.894736842,0.684210526,0.710526316,0.789473684,0.631578947,0.947368421
M2J,0.514705882,0.647058824,0.808823529,0.588235294,0.823529412,0.558823529,0.441176471,0.764705882
M2K,0.387096774,0.774193548,0.709677419,0.64516129,0.709677419,0.806451613,0.64516129,0.806451613
M2L,0.681818182,0.5,0.727272727,0.545454545,0.772727273,0.363636364,0.454545455,0.590909091
M2M,0.4375,0.666666667,0.854166667,0.625,0.5625,0.645833333,0.625,0.833333333
M2N,0.475609756,0.926829268,0.792682927,0.62195122,0.609756098,0.743902439,0.609756098,0.768292683
M2P,0.769230769,0.846153846,0.846153846,0.615384615,0.538461538,0.846153846,0.923076923,0.461538462
M2R,0.591836735,0.775510204,0.755102041,0.673469388,0.673469388,0.530612245,0.551020408,0.93877551
M3A,0.446808511,0.553191489,0.680851064,0.595744681,0.659574468,0.638297872,0.276595745,0.872340426
M3B,0.681818182,0.590909091,0.727272727,0.681818182,0.409090909,0.272727273,0.772727273,0.909090909
M3C,0.580645161,0.838709677,0.806451613,0.580645161,0.806451613,0.548387097,0.483870968,0.838709677
M3H,0.654545455,0.745454545,0.763636364,0.690909091,0.763636364,0.581818182,0.454545455,0.872727273
M3J,0.6,0.8,0.6,0.628571429,0.8,0.885714286,0.8,0.771428571
M3K,0.583333333,0.666666667,0.75,0.75,0.833333333,0.666666667,0.5,0.75
M3L,0.791666667,0.708333333,0.833333333,0.583333333,0.791666667,0.875,0.5,0.583333333
M3M,0.605263158,0.710526316,0.657894737,0.605263158,0.815789474,0.868421053,0.736842105,0.789473684
M3N,0.6,0.7,0.725,0.6,0.7,0.95,0.65,0.925
M4A,0.55,0.65,0.8,0.65,0.7,0.55,0.6,0.9
M4B,0.464285714,0.571428571,0.678571429,0.714285714,0.678571429,0.714285714,0.678571429,0.428571429
M4C,0.507692308,0.630769231,0.769230769,0.4,0.430769231,0.446153846,0.861538462,0.769230769
M4E,0.674418605,0.860465116,0.88372093,0.813953488,0.558139535,0.604651163,0.837209302,0.534883721
M4G,0.59375,0.75,0.84375,0.71875,0.5,0.90625,0.875,0.90625
M4H,0.8,0.6,0.6,0.6,0.9,0.6,0.7,0.7
M4J,0.696969697,0.742424242,0.924242424,0.651515152,0.712121212,0.53030303,0.681818182,0.439393939
M4K,0.517857143,0.678571429,0.785714286,0.696428571,0.660714286,0.392857143,0.571428571,0.732142857
M4L,0.738461538,0.784615385,0.738461538,0.753846154,0.461538462,0.615384615,0.861538462,0.876923077
M4M,0.731707317,0.682926829,0.829268293,0.585365854,0.975609756,0.609756098,0.902439024,0.463414634
M4N,0.709677419,0.774193548,0.741935484,0.774193548,0.419354839,0.903225806,0.451612903,0.870967742
M4P,0.653846154,0.730769231,0.884615385,0.769230769,0.730769231,0.807692308,0.846153846,0.5
M4R,0.611111111,0.722222222,0.833333333,0.777777778,0.722222222,0.888888889,0.888888889,0.611111111
M4S,0.483870968,0.709677419,0.741935484,0.741935484,0.806451613,0.903225806,0.838709677,0.806451613
M4T,0.571428571,0.952380952,0.666666667,0.857142857,0.714285714,0.904761905,0.619047619,0.476190476
M4V,0.592592593,0.740740741,0.666666667,0.666666667,0.740740741,0.888888889,0.592592593,0.481481481
M4W,0.541666667,0.791666667,0.75,0.625,0.791666667,0.791666667,0.583333333,0.666666667
M4X,0.647058824,0.411764706,0.823529412,0.470588235,0.823529412,0.647058824,0.764705882,0.764705882
M4Y,0.852941176,0.852941176,0.911764706,0.794117647,0.941176471,0.823529412,0.823529412,0.823529412
M5A,0.717391304,0.739130435,0.782608696,0.739130435,0.934782609,0.456521739,0.804347826,0.760869565
M5B,0.777777778,0.777777778,0.944444444,0.722222222,1,0.722222222,0.833333333,0.888888889
M5C,0.5,0.75,0.75,0.5,1,1,0.75,0.75
M5E,0.666666667,0.916666667,0.75,0.833333333,1,0.833333333,0.916666667,0.916666667
M5M,0.772727273,0.772727273,0.863636364,0.772727273,0.431818182,0.840909091,0.909090909,0.568181818
M5N,0.586206897,0.724137931,0.862068966,0.793103448,0.379310345,0.448275862,0.793103448,0.586206897
M5P,0.657142857,0.628571429,0.914285714,0.714285714,0.8,0.742857143,0.828571429,0.771428571
M5R,0.617021277,0.765957447,0.70212766,0.617021277,0.914893617,0.893617021,0.382978723,0.808510638
M5S,0.727272727,0.727272727,0.863636364,0.727272727,0.909090909,0.5,0.5,0.863636364
M5T,0.677419355,0.774193548,0.741935484,0.774193548,0.935483871,0.806451613,0.516129032,0.967741935
M5V,0.72,0.84,0.72,0.6,1,0.84,0.88,0.48
M6A,0.514285714,0.885714286,0.657142857,0.685714286,0.8,0.628571429,0.514285714,0.828571429
M6B,0.692307692,0.769230769,0.711538462,0.634615385,0.826923077,0.557692308,0.557692308,0.807692308
M6C,0.681818182,0.636363636,0.727272727,0.681818182,0.909090909,0.636363636,0.545454545,0.545454545
M6E,0.708860759,0.683544304,0.873417722,0.734177215,0.430379747,0.886075949,0.594936709,0.53164557
M6G,0.698412698,0.793650794,0.873015873,0.698412698,0.698412698,0.619047619,0.888888889,0.968253968
M6H,0.644444444,0.866666667,0.733333333,0.744444444,0.566666667,0.666666667,0.722222222,0.588888889
M6J,0.682539683,0.73015873,0.650793651,0.698412698,0.857142857,0.428571429,0.73015873,0.841269841
M6K,0.689655172,0.655172414,0.896551724,0.620689655,0.862068966,0.482758621,0.827586207,0.448275862
M6L,0.516129032,0.612903226,0.709677419,0.516129032,0.774193548,0.774193548,0.419354839,0.677419355
M6M,0.540983607,0.754098361,0.655737705,0.62295082,0.836065574,0.93442623,0.475409836,0.901639344
M6N,0.701492537,0.731343284,0.880597015,0.671641791,0.671641791,0.955223881,0.611940299,0.597014925
M6P,0.616666667,0.7,0.85,0.7,0.9,0.45,0.866666667,0.833333333
M6R,0.666666667,0.833333333,0.952380952,0.833333333,0.952380952,0.857142857,0.952380952,0.666666667
M6S,0.58490566,0.924528302,0.773584906,0.924528302,0.79245283,0.79245283,0.547169811,0.754716981
M8V,0.590909091,0.75,0.909090909,0.772727273,0.636363636,0.636363636,0.522727273,0.727272727
M8W,0.641025641,0.641025641,0.615384615,0.717948718,0.564102564,0.615384615,0.615384615,0.794871795
M8X,0.470588235,0.764705882,0.882352941,0.647058824,0.647058824,0.882352941,0.764705882,0.647058824
M8Y,0.548387097,0.64516129,0.806451613,0.548387097,0.774193548,0.64516129,0.677419355,0.709677419
M9A,0.372093023,0.627906977,0.697674419,0.627906977,0.511627907,0.279069767,0.651162791,0.674418605
M9B,0.452830189,0.924528302,0.660377358,0.754716981,0.377358491,0.58490566,0.433962264,0.773584906
M9C,0.3,0.65,0.783333333,0.6,0.566666667,0.6,0.716666667,0.75
M9L,0.703703704,0.592592593,0.62962963,0.666666667,0.703703704,0.962962963,0.62962963,0.666666667
M9M,0.533333333,0.633333333,0.566666667,0.6,0.666666667,0.9,0.333333333,0.733333333
M9N,0.571428571,0.685714286,0.714285714,0.6,0.8,0.771428571,0.571428571,0.771428571
M9P,0.466666667,0.733333333,0.833333333,0.533333333,0.4,0.566666667,0.333333333,0.5
M9R,0.488888889,0.466666667,0.888888889,0.444444444,0.622222222,0.733333333,0.6,0.6
M9V,0.52238806,0.686567164,0.686567164,0.597014925,0.71641791,0.626865672,0.537313433,0.955223881
M9W,0.566666667,0.816666667,0.716666667,0.616666667,0.45,0.45,0.466666667,0.683333333
N0B,0.788018433,0.843317972,0.861751152,0.65437788,0.788018433,0.847926267,0.562211982,0.626728111
N0C,0.76744186,0.604651163,0.651162791,0.627906977,0.674418605,0.604651163,0.418604651,0.930232558
N0G,0.751269036,0.700507614,0.675126904,0.695431472,0.467005076,0.568527919,0.700507614,0.847715736
N1E,0.709677419,0.741935484,0.725806452,0.548387097,0.741935484,0.467741935,0.709677419,0.5
N1L,0.764705882,0.764705882,0.705882353,0.588235294,0.588235294,0.823529412,0.705882353,0.529411765
N2C,0.65,0.75,0.6,0.45,0.8,0.8,0.5,0.8
N2H,0.680851064,0.680851064,0.70212766,0.723404255,0.914893617,0.617021277,0.617021277,0.510638298
N2L,0.64,0.56,0.68,0.7,0.7,0.44,0.68,0.52
N2M,0.655172414,0.724137931,0.74137931,0.637931034,0.775862069,0.482758621,0.431034483,0.448275862
N3A,0.814814815,0.740740741,0.925925926,0.666666667,0.740740741,0.740740741,0.481481481,0.37037037
N3H,0.684210526,0.763157895,0.710526316,0.736842105,0.842105263,0.631578947,0.631578947,0.5
N3L,0.769230769,0.58974359,0.948717949,0.743589744,0.666666667,0.923076923,0.641025641,0.871794872
N4L,0.75,0.75,0.75,0.8,0.7,0.6,0.9,0.9
N5P,0.785714286,0.714285714,0.69047619,0.642857143,0.666666667,0.523809524,0.714285714,0.476190476
N8X,0.731707317,0.634146341,0.756097561,0.731707317,0.487804878,0.902439024,0.634146341,0.731707317
N9A,0.653333333,0.706666667,0.853333333,0.733333333,0.266666667,0.88,0.64,0.786666667
N9J,0.823529412,0.676470588,0.676470588,0.617647059,0.676470588,0.823529412,0.764705882,0.588235294
P0A,0.761904762,0.761904762,0.666666667,0.761904762,0.619047619,0.666666667,0.761904762,0.904761905
P0B,0.789473684,0.631578947,0.710526316,0.657894737,0.842105263,0.657894737,0.736842105,0.868421053
P0E,0.785714286,0.785714286,0.642857143,0.571428571,0.642857143,0.928571429,0.785714286,0.928571429
P0P,0.724137931,0.793103448,0.620689655,0.724137931,0.586206897,0.586206897,0.75862069,0.896551724
P1A,0.818181818,0.696969697,0.757575758,0.848484848,0.636363636,0.484848485,0.545454545,0.909090909
P1B,0.652777778,0.708333333,0.791666667,0.777777778,0.416666667,0.388888889,0.5,0.347222222
P1H,0.705882353,0.794117647,0.735294118,0.705882353,0.617647059,0.794117647,0.882352941,0.617647059
P1L,0.677419355,0.838709677,0.64516129,0.64516129,0.741935484,0.64516129,0.322580645,0.677419355
P1P,0.769230769,0.807692308,0.884615385,0.807692308,0.653846154,0.653846154,0.923076923,0.923076923
P2A,0.689655172,0.75862069,0.689655172,0.655172414,0.482758621,0.551724138,0.862068966,0.75862069
P4N,0.719298246,0.666666667,0.771929825,0.666666667,0.614035088,0.438596491,0.701754386,0.456140351
P4P,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
P7A,0.71641791,0.746268657,0.656716418,0.71641791,0.656716418,0.552238806,0.850746269,0.880597015
P7B,0.660377358,0.716981132,0.716981132,0.679245283,0.41509434,0.471698113,0.471698113,0.452830189
P7C,0.739130435,0.717391304,0.717391304,0.804347826,0.5,0.391304348,0.586956522,0.434782609
P7L,0.75,0.75,0.75,0.75,1,0.5,0.75,0.75
M5L,1,1,1,1,1,1,1,1
